function_name,signature,filename,line_number,full_name,index
xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,0
xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,xEventGroupCreateStatic,1
xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,xEventGroupCreate,2
xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,xEventGroupSync,3
xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,xEventGroupWaitBits,4
xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,xEventGroupClearBits,5
xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,xEventGroupClearBitsFromISR,6
xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,xEventGroupGetBitsFromISR,7
vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,xEventGroupSetBits,8
xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,vEventGroupDelete,9
vEventGroupSetBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,10,xEventGroupGetStaticBuffer,10
vEventGroupClearBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,2025,vEventGroupSetBitsCallback,11
prvTestWaitCondition,"BaseType_t(EventBits_t,EventBits_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,vEventGroupClearBitsCallback,12
xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,13,prvTestWaitCondition,13
uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,20,xEventGroupSetBitsFromISR,14
vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,4,uxEventGroupGetNumber,15
Reset_Handler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,0,vEventGroupSetNumber,16
prvGetRegistersFromStack,void(uint32_t*),init/startup.c,397,Reset_Handler,17
Default_Handler,void(void),init/startup.c,-1,init/startup.c:<global>,18
HardFault_Handler,void(void),init/startup.c,-1,prvGetRegistersFromStack,19
MemMang_Handler,void(void),init/startup.c,-1,Default_Handler,20
BusFault_Handler,void(void),init/startup.c,-1,HardFault_Handler,21
UsageFault_Handler,void(void),init/startup.c,-1,MemMang_Handler,22
Debug_Handler,void(void),init/startup.c,-1,BusFault_Handler,23
_start,void(void),init/startup.c,-1,UsageFault_Handler,24
exit,void(int),init/startup.c,-1,Debug_Handler,25
MPU_xTaskDelayUntil,"BaseType_t(TickType_t*,TickType_t)",init/startup.c,-1,_start,26
MPU_xTaskAbortDelay,BaseType_t(TaskHandle_t),init/startup.c,-1,exit,27
MPU_vTaskDelay,void(TickType_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xTaskDelayUntil,28
MPU_uxTaskPriorityGet,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c:<global>,29
MPU_eTaskGetState,eTaskState(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xTaskAbortDelay,30
MPU_vTaskGetInfo,"void(TaskHandle_t,TaskStatus_t*,BaseType_t,eTaskState)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_vTaskDelay,31
MPU_xTaskGetIdleTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_uxTaskPriorityGet,32
MPU_vTaskSuspend,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_eTaskGetState,33
MPU_vTaskResume,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_vTaskGetInfo,34
MPU_xTaskGetTickCount,TickType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xTaskGetIdleTaskHandle,35
