function_name,signature,filename,line_number,full_name,index
prvTestWaitCondition,"BaseType_t(EventBits_t,EventBits_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,9,vEventGroupClearBitsCallback,12
Reset_Handler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,0,vEventGroupSetNumber,16
prvGetRegistersFromStack,void(uint32_t*),init/startup.c,397,Reset_Handler,17
Default_Handler,void(void),init/startup.c,-1,init/startup.c:<global>,18
HardFault_Handler,void(void),init/startup.c,-1,prvGetRegistersFromStack,19
MemMang_Handler,void(void),init/startup.c,-1,Default_Handler,20
BusFault_Handler,void(void),init/startup.c,-1,HardFault_Handler,21
UsageFault_Handler,void(void),init/startup.c,-1,MemMang_Handler,22
Debug_Handler,void(void),init/startup.c,-1,BusFault_Handler,23
_start,void(void),init/startup.c,-1,UsageFault_Handler,24
exit,void(int),init/startup.c,-1,Debug_Handler,25
BREAKPOINT,int(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferBytesAvailable,86
vSVCHandler_C,void(uint32_t*),fuzz_harness.c,-1,test_task,93
vSystemCallEnter,"void(uint32_t*,uint8_t)",fuzz_harness.c,-1,fuzz_task,94
vRequestSystemCallExit,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,pxPortInitialiseStack,95
vSystemCallExit,void(uint32_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:<global>,96
prvSetupMPU,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortEnterCritical,106
prvGetMPURegionSizeSetting,uint32_t(uint32_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortExitCritical,107
xIsPrivileged,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortPendSVHandler,108
vResetPrivilege,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortSysTickHandler,109
MPU_GetFreeIndexInKernelObjectPool,int32_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortIsAuthorizedToAccessBuffer,117
MPU_SetIndexFreeInKernelObjectPool,void(int32_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortValidateInterruptPriority,118
MPU_GetIndexForHandle,"int32_t(OpaqueObjectHandle_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortGrantAccessToKernelObject,119
MPU_StoreHandleAndDataAtIndex,"void(int32_t,OpaqueObjectHandle_t,void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,vPortRevokeAccessToKernelObject,120
MPU_GetHandleAtIndex,"OpaqueObjectHandle_t(int32_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,-1,xPortIsAuthorizedToAccessKernelObject,121
vGrantAccessToKernelObject,"void(TaskHandle_t,int32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:<global>,122
vRevokeAccessToKernelObject,"void(TaskHandle_t,int32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_GetFreeIndexInKernelObjectPool,123
prvGetNextExpireTime,TickType_t(BaseType_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,xTimerGetExpiryTime,261
prvSampleTimeNow,TickType_t(BaseType_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,xTimerGetStaticBuffer,262
prvProcessReceivedCommands,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,-1,prvReloadTimer,264
prvWriteMessageToBuffer,"size_t(StreamBuffer_t*,void*,size_t,size_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,xStreamBufferGenericCreateStatic,302
prvReadMessageFromBuffer,"size_t(StreamBuffer_t*,void*,size_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,xStreamBufferResetFromISR,306
prvWriteBytesToBuffer,"size_t(StreamBuffer_t*,uint8_t*,size_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,xStreamBufferSendFromISR,311
prvReadBytesFromBuffer,"size_t(StreamBuffer_t*,uint8_t*,size_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,prvWriteMessageToBuffer,312
prvBytesInBuffer,size_t(StreamBuffer_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,xStreamBufferReceive,313
prvInitialiseMutex,void(Queue_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,-1,uxStreamBufferGetStreamBufferNotificationIndex,325
vStartMPUDemo,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvCopyDataFromQueue,365
vHandleMemoryFault,void(uint32_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvUnlockQueue,366
<clinit>,"TCB_t(TaskFunction_t,char*,StackType_t,void*,UBaseType_t,StackType_t*,StaticTask_t*,TaskHandle_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,-1,prvIsQueueEmpty,367
prvDeleteTCB,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskInternalSetTimeOutState,430
main,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,xTaskPriorityDisinherit,450
vApplicationIdleHook,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,vTaskPriorityDisinheritAfterTimeout,451
vApplicationTickHook,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,uxTaskResetEventItemValue,452
vAssertCalled,"void(char*,...)",/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,pvTaskIncrementMutexHeldCount,453
vLoggingPrintf,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,-1,ulTaskGenericNotifyTake,454
