function_name,signature,filename,line_number,full_name,index
MPU_xStreamBufferSend,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xEventGroupSync,78
MPU_xStreamBufferReceive,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_uxEventGroupGetNumber,79
MPU_xStreamBufferIsFull,BaseType_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_vEventGroupSetNumber,80
MPU_xStreamBufferIsEmpty,BaseType_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferSend,81
MPU_xStreamBufferSpacesAvailable,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferReceive,82
MPU_xStreamBufferBytesAvailable,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferIsFull,83
MPU_xStreamBufferSetTriggerLevel,"BaseType_t(StreamBufferHandle_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferIsEmpty,84
MPU_xStreamBufferNextMessageLengthBytes,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,-1,MPU_xStreamBufferSpacesAvailable,85
MPU_xStreamBufferSendImpl,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupCreateStatic,225
MPU_xStreamBufferReceiveImpl,"size_t(StreamBufferHandle_t,void*,size_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_vEventGroupDelete,226
MPU_xStreamBufferIsFullImpl,BaseType_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupGetStaticBuffer,227
MPU_xStreamBufferIsEmptyImpl,BaseType_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupClearBitsFromISR,228
MPU_xStreamBufferSpacesAvailableImpl,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupSetBitsFromISR,229
MPU_xStreamBufferBytesAvailableImpl,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xEventGroupGetBitsFromISR,230
MPU_xStreamBufferSetTriggerLevelImpl,"BaseType_t(StreamBufferHandle_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferSendImpl,231
MPU_xStreamBufferNextMessageLengthBytesImpl,size_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferReceiveImpl,232
MPU_xStreamBufferGenericCreate,"StreamBufferHandle_t(size_t,size_t,BaseType_t,StreamBufferCallbackFunction_t,StreamBufferCallbackFunction_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferIsFullImpl,233
MPU_xStreamBufferGenericCreateStatic,"StreamBufferHandle_t(size_t,size_t,BaseType_t,uint8_t*,StaticStreamBuffer_t*,StreamBufferCallbackFunction_t,StreamBufferCallbackFunction_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferIsEmptyImpl,234
MPU_vStreamBufferDelete,void(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferSpacesAvailableImpl,235
MPU_xStreamBufferReset,BaseType_t(StreamBufferHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferBytesAvailableImpl,236
MPU_xStreamBufferGetStaticBuffers,"BaseType_t(StreamBufferHandle_t,uint8_t*,StaticStreamBuffer_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,-1,MPU_xStreamBufferSetTriggerLevelImpl,237
