file_path,file_type,file_name
/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,source,event_groups.c
init/startup.c,source,startup.c
/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,source,mpu_wrappers_v2_asm.c
fuzz_harness.c,source,fuzz_harness.c
/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,source,port.c
/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,source,mpu_wrappers_v2.c
/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,source,timers.c
/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,source,heap_4.c
/home/zwz/FreeRTOS/FreeRTOS/Source/list.c,source,list.c
/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,source,stream_buffer.c
/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers.c,source,mpu_wrappers.c
/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,source,queue.c
mpu_demo.c,source,mpu_demo.c
/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,source,tasks.c
main.c,source,main.c
app_main.c,source,app_main.c
syscall.c,source,syscall.c
<includes>,source,<includes>
