name,fullName,signature,filename,start_line,end_line,column,cyclomaticComplexity,numberOfLines,parameters
<global>,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,1,887,1,-1,-1,
xEventGroupCreateStatic,xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,86,138,9,-1,-1,StaticEventGroup_t* pxEventGroupBuffer
xEventGroupCreate,xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,145,180,9,-1,-1,void
xEventGroupSync,xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,185,309,5,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToSet, EventBits_t uxBitsToWaitFor, TickType_t xTicksToWait"
xEventGroupWaitBits,xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,312,469,5,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToWaitFor, BaseType_t xClearOnExit, BaseType_t xWaitForAllBits, TickType_t xTicksToWait"
xEventGroupClearBits,xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,472,501,5,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToClear"
xEventGroupClearBitsFromISR,xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,506,519,9,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToClear"
xEventGroupGetBitsFromISR,xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,524,544,5,-1,-1,EventGroupHandle_t xEventGroup
xEventGroupSetBits,xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,547,647,5,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToSet"
vEventGroupDelete,vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,650,697,5,-1,-1,EventGroupHandle_t xEventGroup
xEventGroupGetStaticBuffer,xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,701,742,9,-1,-1,"EventGroupHandle_t xEventGroup, StaticEventGroup_t** ppxEventGroupBuffer"
vEventGroupSetBitsCallback,vEventGroupSetBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,748,759,5,-1,-1,"void* pvEventGroup, uint32_t ulBitsToSet"
vEventGroupClearBitsCallback,vEventGroupClearBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,764,775,5,-1,-1,"void* pvEventGroup, uint32_t ulBitsToClear"
prvTestWaitCondition,prvTestWaitCondition,"BaseType_t(EventBits_t,EventBits_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,778,812,5,-1,-1,"EventBits_t uxCurrentEventBits, EventBits_t uxBitsToWaitFor, BaseType_t xWaitForAllBits"
xEventGroupSetBitsFromISR,xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,817,831,9,-1,-1,"EventGroupHandle_t xEventGroup, EventBits_t uxBitsToSet, BaseType_t* pxHigherPriorityTaskWoken"
uxEventGroupGetNumber,uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,838,861,9,-1,-1,void* xEventGroup
vEventGroupSetNumber,vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,868,879,9,-1,-1,"void* xEventGroup, UBaseType_t uxEventGroupNumber"
Reset_Handler,Reset_Handler,void(void),init/startup.c,45,67,1,-1,-1,void
<global>,init/startup.c:<global>,,init/startup.c,1,262,1,-1,-1,
prvGetRegistersFromStack,prvGetRegistersFromStack,void(uint32_t*),init/startup.c,69,108,1,-1,-1,uint32_t* pulFaultStackAddress
Default_Handler,Default_Handler,void(void),init/startup.c,111,125,1,-1,-1,void
HardFault_Handler,HardFault_Handler,void(void),init/startup.c,128,142,1,-1,-1,void
MemMang_Handler,MemMang_Handler,void(void),init/startup.c,148,160,1,-1,-1,void
BusFault_Handler,BusFault_Handler,void(void),init/startup.c,162,174,1,-1,-1,void
UsageFault_Handler,UsageFault_Handler,void(void),init/startup.c,176,188,1,-1,-1,void
Debug_Handler,Debug_Handler,void(void),init/startup.c,190,202,1,-1,-1,void
_start,_start,void(void),init/startup.c,238,243,1,-1,-1,void
exit,exit,void(int),init/startup.c,245,262,1,-1,-1,int status
MPU_xTaskDelayUntil,MPU_xTaskDelayUntil,"BaseType_t(TickType_t*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,54,74,9,-1,-1,"TickType_t* pxPreviousWakeTime, TickType_t xTimeIncrement"
<global>,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c:<global>,,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,1,2067,1,-1,-1,
MPU_xTaskAbortDelay,MPU_xTaskAbortDelay,BaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,83,102,9,-1,-1,TaskHandle_t xTask
MPU_vTaskDelay,MPU_vTaskDelay,void(TickType_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,111,130,9,-1,-1,TickType_t xTicksToDelay
MPU_uxTaskPriorityGet,MPU_uxTaskPriorityGet,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,139,158,9,-1,-1,TaskHandle_t xTask
MPU_eTaskGetState,MPU_eTaskGetState,eTaskState(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,167,186,9,-1,-1,TaskHandle_t xTask
MPU_vTaskGetInfo,MPU_vTaskGetInfo,"void(TaskHandle_t,TaskStatus_t*,BaseType_t,eTaskState)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,198,220,9,-1,-1,"TaskHandle_t xTask, TaskStatus_t* pxTaskStatus, BaseType_t xGetFreeStackSpace, eTaskState eState"
MPU_xTaskGetIdleTaskHandle,MPU_xTaskGetIdleTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,229,248,9,-1,-1,void
MPU_vTaskSuspend,MPU_vTaskSuspend,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,257,276,9,-1,-1,TaskHandle_t xTaskToSuspend
