name,fullName,filename,start_line,end_line,kind,code
EventGroupDef_t,EventGroupDef_t,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,54,-1,type,"typedef struct EventGroupDef_t
    {
        EventBits_t uxEventBits;
        List_t xTasksWaitingForBits; /**< List of tasks waiting for a bit to be set. */

        #if ( configUSE_TRACE_FACILITY == 1 )
            UBaseType_t uxEventGroupNumber;
        #endif

        #if ( ( configSUPPORT_STATIC_ALLOCATION == 1 ) && ( configSUPPORT_DYNAMIC_ALLOCATION == 1 ) )
            uint8_t ucStaticallyAllocated; /**< Set to pdTRUE if the event group is statically allocated to ensure no attempt is made to free the memory. */
        #endif
    }"
EventGroup_t,EventGroup_t,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,66,-1,type,"typedef struct EventGroupDef_t
    {
        EventBits_t uxEventBits;
        List_t xTasksWaitingForBits; /**< List of tasks waiting for a bit to be set. */

        #if ( configUSE_TRACE_FACILITY == 1 )
            UBaseType_t uxEventGroupNumber;
        #endif

        #if ( ( configSUPPORT_STATIC_ALLOCATION == 1 ) && ( configSUPPORT_DYNAMIC_ALLOCATION == 1 ) )
            uint8_t ucStaticallyAllocated; /**< Set to pdTRUE if the event group is statically allocated to ensure no attempt is made to free the memory. */
        #endif
    } EventGroup_t;"
xEventGroupCreateStatic,xEventGroupCreateStatic,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,86,-1,type,xEventGroupCreateStatic
xEventGroupCreate,xEventGroupCreate,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,145,-1,type,xEventGroupCreate
xEventGroupSync,xEventGroupSync,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,185,-1,type,xEventGroupSync
xEventGroupWaitBits,xEventGroupWaitBits,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,312,-1,type,xEventGroupWaitBits
xEventGroupClearBits,xEventGroupClearBits,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,472,-1,type,xEventGroupClearBits
xEventGroupClearBitsFromISR,xEventGroupClearBitsFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,506,-1,type,xEventGroupClearBitsFromISR
xEventGroupGetBitsFromISR,xEventGroupGetBitsFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,524,-1,type,xEventGroupGetBitsFromISR
xEventGroupSetBits,xEventGroupSetBits,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,547,-1,type,xEventGroupSetBits
vEventGroupDelete,vEventGroupDelete,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,650,-1,type,vEventGroupDelete
xEventGroupGetStaticBuffer,xEventGroupGetStaticBuffer,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,701,-1,type,xEventGroupGetStaticBuffer
vEventGroupSetBitsCallback,vEventGroupSetBitsCallback,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,748,-1,type,vEventGroupSetBitsCallback
vEventGroupClearBitsCallback,vEventGroupClearBitsCallback,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,764,-1,type,vEventGroupClearBitsCallback
prvTestWaitCondition,prvTestWaitCondition,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,778,-1,type,prvTestWaitCondition
xEventGroupSetBitsFromISR,xEventGroupSetBitsFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,817,-1,type,xEventGroupSetBitsFromISR
uxEventGroupGetNumber,uxEventGroupGetNumber,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,838,-1,type,uxEventGroupGetNumber
vEventGroupSetNumber,vEventGroupSetNumber,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,868,-1,type,vEventGroupSetNumber
<global>,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,1,-1,type,<global>
Reset_Handler,Reset_Handler,init/startup.c,45,-1,type,Reset_Handler
prvGetRegistersFromStack,prvGetRegistersFromStack,init/startup.c,69,-1,type,prvGetRegistersFromStack
Default_Handler,Default_Handler,init/startup.c,111,-1,type,Default_Handler
HardFault_Handler,HardFault_Handler,init/startup.c,128,-1,type,HardFault_Handler
MemMang_Handler,MemMang_Handler,init/startup.c,148,-1,type,MemMang_Handler
BusFault_Handler,BusFault_Handler,init/startup.c,162,-1,type,BusFault_Handler
UsageFault_Handler,UsageFault_Handler,init/startup.c,176,-1,type,UsageFault_Handler
Debug_Handler,Debug_Handler,init/startup.c,190,-1,type,Debug_Handler
_start,_start,init/startup.c,238,-1,type,_start
exit,exit,init/startup.c,245,-1,type,exit
<global>,init/startup.c:<global>,init/startup.c,1,-1,type,<global>
MPU_xTaskDelayUntil,MPU_xTaskDelayUntil,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,54,-1,type,MPU_xTaskDelayUntil
MPU_xTaskAbortDelay,MPU_xTaskAbortDelay,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,83,-1,type,MPU_xTaskAbortDelay
MPU_vTaskDelay,MPU_vTaskDelay,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,111,-1,type,MPU_vTaskDelay
MPU_uxTaskPriorityGet,MPU_uxTaskPriorityGet,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,139,-1,type,MPU_uxTaskPriorityGet
MPU_eTaskGetState,MPU_eTaskGetState,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,167,-1,type,MPU_eTaskGetState
MPU_vTaskGetInfo,MPU_vTaskGetInfo,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,198,-1,type,MPU_vTaskGetInfo
MPU_xTaskGetIdleTaskHandle,MPU_xTaskGetIdleTaskHandle,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,229,-1,type,MPU_xTaskGetIdleTaskHandle
MPU_vTaskSuspend,MPU_vTaskSuspend,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,257,-1,type,MPU_vTaskSuspend
MPU_vTaskResume,MPU_vTaskResume,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,285,-1,type,MPU_vTaskResume
MPU_xTaskGetTickCount,MPU_xTaskGetTickCount,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,311,-1,type,MPU_xTaskGetTickCount
MPU_uxTaskGetNumberOfTasks,MPU_uxTaskGetNumberOfTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,335,-1,type,MPU_uxTaskGetNumberOfTasks
MPU_uxTaskGetSystemState,MPU_uxTaskGetSystemState,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,595,-1,type,MPU_uxTaskGetSystemState
MPU_uxTaskGetStackHighWaterMark,MPU_uxTaskGetStackHighWaterMark,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,625,-1,type,MPU_uxTaskGetStackHighWaterMark
MPU_uxTaskGetStackHighWaterMark2,MPU_uxTaskGetStackHighWaterMark2,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,653,-1,type,MPU_uxTaskGetStackHighWaterMark2
