function_name,signature,source_file,full_name,index
xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,0
xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupCreateStatic,1
xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupCreate,2
xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSync,3
xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupWaitBits,4
xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupClearBits,5
xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupClearBitsFromISR,6
xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupGetBitsFromISR,7
vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSetBits,8
xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupDelete,9
vEventGroupSetBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupGetStaticBuffer,10
vEventGroupClearBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupSetBitsCallback,11
prvTestWaitCondition,"BaseType_t(EventBits_t,EventBits_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupClearBitsCallback,12
xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,prvTestWaitCondition,13
uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSetBitsFromISR,14
vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,uxEventGroupGetNumber,15
Reset_Handler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupSetNumber,16
prvGetRegistersFromStack,void(uint32_t*),init/startup.c,Reset_Handler,17
Default_Handler,void(void),init/startup.c,init/startup.c:<global>,18
HardFault_Handler,void(void),init/startup.c,prvGetRegistersFromStack,19
MemMang_Handler,void(void),init/startup.c,Default_Handler,20
BusFault_Handler,void(void),init/startup.c,HardFault_Handler,21
UsageFault_Handler,void(void),init/startup.c,MemMang_Handler,22
Debug_Handler,void(void),init/startup.c,BusFault_Handler,23
_start,void(void),init/startup.c,UsageFault_Handler,24
exit,void(int),init/startup.c,Debug_Handler,25
MPU_xTaskDelayUntil,"BaseType_t(TickType_t*,TickType_t)",init/startup.c,_start,26
MPU_xTaskAbortDelay,BaseType_t(TaskHandle_t),init/startup.c,exit,27
MPU_vTaskDelay,void(TickType_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskDelayUntil,28
MPU_uxTaskPriorityGet,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c:<global>,29
MPU_eTaskGetState,eTaskState(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskAbortDelay,30
MPU_vTaskGetInfo,"void(TaskHandle_t,TaskStatus_t*,BaseType_t,eTaskState)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_vTaskDelay,31
MPU_xTaskGetIdleTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTaskPriorityGet,32
MPU_vTaskSuspend,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_eTaskGetState,33
MPU_vTaskResume,void(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_vTaskGetInfo,34
MPU_xTaskGetTickCount,TickType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGetIdleTaskHandle,35
MPU_uxTaskGetNumberOfTasks,UBaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_vTaskSuspend,36
MPU_uxTaskGetSystemState,"UBaseType_t(TaskStatus_t*,UBaseType_t,uint32_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_vTaskResume,37
MPU_uxTaskGetStackHighWaterMark,UBaseType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGetTickCount,38
MPU_uxTaskGetStackHighWaterMark2,StackType_t(TaskHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTaskGetNumberOfTasks,39
MPU_xTaskGetCurrentTaskHandle,TaskHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTaskGetSystemState,40
MPU_xTaskGetSchedulerState,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTaskGetStackHighWaterMark,41
MPU_vTaskSetTimeOutState,void(TimeOut_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTaskGetStackHighWaterMark2,42
MPU_xTaskCheckForTimeOut,"BaseType_t(TimeOut_t*,TickType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGetCurrentTaskHandle,43
MPU_xTaskGenericNotifyEntry,BaseType_t(xTaskGenericNotifyParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGetSchedulerState,44
MPU_xTaskGenericNotifyWaitEntry,BaseType_t(xTaskGenericNotifyWaitParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_vTaskSetTimeOutState,45
MPU_ulTaskGenericNotifyTake,"uint32_t(UBaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskCheckForTimeOut,46
MPU_xTaskGenericNotifyStateClear,"BaseType_t(TaskHandle_t,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGenericNotifyEntry,47
MPU_ulTaskGenericNotifyValueClear,"uint32_t(TaskHandle_t,UBaseType_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGenericNotifyWaitEntry,48
MPU_xQueueGenericSend,"BaseType_t(QueueHandle_t,void*,TickType_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_ulTaskGenericNotifyTake,49
MPU_uxQueueMessagesWaiting,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGenericNotifyStateClear,50
MPU_uxQueueSpacesAvailable,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_ulTaskGenericNotifyValueClear,51
