function_name,signature,source_file,full_name,index
xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c:<global>,0
xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupCreateStatic,1
xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupCreate,2
xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSync,3
xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupWaitBits,4
xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupClearBits,5
xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupClearBitsFromISR,6
xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupGetBitsFromISR,7
vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSetBits,8
xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupDelete,9
vEventGroupSetBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupGetStaticBuffer,10
vEventGroupClearBitsCallback,"void(void*,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,vEventGroupSetBitsCallback,11
xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,prvTestWaitCondition,13
uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,xEventGroupSetBitsFromISR,14
vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,uxEventGroupGetNumber,15
MPU_xEventGroupWaitBitsEntry,EventBits_t(xEventGroupWaitBitsParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxTimerGetReloadMode,72
MPU_xEventGroupClearBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTimerGetPeriod,73
MPU_xEventGroupSetBits,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTimerGetExpiryTime,74
MPU_xEventGroupSync,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xEventGroupWaitBitsEntry,75
MPU_uxEventGroupGetNumber,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xEventGroupClearBits,76
MPU_vEventGroupSetNumber,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xEventGroupSetBits,77
MPU_xEventGroupWaitBits,"EventBits_t(EventGroupHandle_t,EventBits_t,BaseType_t,BaseType_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerGetPeriodImpl,211
MPU_xEventGroupWaitBitsImpl,EventBits_t(xEventGroupWaitBitsParams_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerGetExpiryTimeImpl,212
MPU_xEventGroupClearBitsImpl,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerCreate,213
MPU_xEventGroupSetBitsImpl,"EventBits_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerCreateStatic,214
MPU_xEventGroupSyncImpl,"EventBits_t(EventGroupHandle_t,EventBits_t,EventBits_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerGetStaticBuffer,215
MPU_uxEventGroupGetNumberImpl,UBaseType_t(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xTimerGenericCommandFromISR,216
MPU_vEventGroupSetNumberImpl,"void(void*,UBaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupWaitBits,217
MPU_xEventGroupCreate,EventGroupHandle_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupWaitBitsImpl,218
MPU_xEventGroupCreateStatic,EventGroupHandle_t(StaticEventGroup_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupClearBitsImpl,219
MPU_vEventGroupDelete,void(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupSetBitsImpl,220
MPU_xEventGroupGetStaticBuffer,"BaseType_t(EventGroupHandle_t,StaticEventGroup_t**)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupSyncImpl,221
MPU_xEventGroupClearBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_uxEventGroupGetNumberImpl,222
MPU_xEventGroupSetBitsFromISR,"BaseType_t(EventGroupHandle_t,EventBits_t,BaseType_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_vEventGroupSetNumberImpl,223
MPU_xEventGroupGetBitsFromISR,EventBits_t(EventGroupHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,MPU_xEventGroupCreate,224
eventCLEAR_EVENTS_ON_EXIT_BIT,ANY(0),syscall.c,_close,482
eventUNBLOCKED_DUE_TO_BIT_SET,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:mpuMULTIPLY_UINT32_WILL_OVERFLOW:ANY(2),492
eventEVENT_BITS_CONTROL_BYTES,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_START:ANY(0),493
eventWAIT_FOR_ALL_BITS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c:prvAddTaskToReadyList:ANY(1),516
MPU_StoreEventGroupHandleAtIndex,unsigned int(0),fuzz_harness.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/queue.h:xQueueSend:ANY(3),627
traceEVENT_GROUP_SYNC_END,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portSTACK_FRAME_HAS_PADDING_FLAG:ANY(0),657
MPU_GetEventGroupHandleAtIndex,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portSET_INTERRUPT_MASK_FROM_ISR:ANY(0),720
traceEVENT_GROUP_WAIT_BITS_END,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:portBASE_TYPE_EXIT_CRITICAL:ANY(0),728
