function_name,cyclomatic_complexity,number_of_lines
xEventGroupCreateStatic,0,0
xEventGroupCreate,0,0
xEventGroupSync,0,0
xEventGroupWaitBits,0,0
xEventGroupClearBits,0,0
xEventGroupClearBitsFromISR,0,0
xEventGroupGetBitsFromISR,0,0
xEventGroupSetBits,0,0
vEventGroupDelete,0,0
xEventGroupGetStaticBuffer,0,0
vEventGroupSetBitsCallback,0,0
vEventGroupClearBitsCallback,0,0
prvTestWaitCondition,0,0
xEventGroupSetBitsFromISR,0,0
uxEventGroupGetNumber,0,0
vEventGroupSetNumber,0,0
Reset_Handler,0,0
prvGetRegistersFromStack,0,0
Default_Handler,0,0
HardFault_Handler,0,0
MemMang_Handler,0,0
BusFault_Handler,0,0
UsageFault_Handler,0,0
Debug_Handler,0,0
_start,0,0
exit,0,0
MPU_xTaskDelayUntil,0,0
MPU_xTaskAbortDelay,0,0
MPU_vTaskDelay,0,0
MPU_uxTaskPriorityGet,0,0
MPU_eTaskGetState,0,0
MPU_vTaskGetInfo,0,0
MPU_xTaskGetIdleTaskHandle,0,0
MPU_vTaskSuspend,0,0
MPU_vTaskResume,0,0
MPU_xTaskGetTickCount,0,0
MPU_uxTaskGetNumberOfTasks,0,0
MPU_uxTaskGetSystemState,0,0
MPU_uxTaskGetStackHighWaterMark,0,0
MPU_uxTaskGetStackHighWaterMark2,0,0
MPU_xTaskGetCurrentTaskHandle,0,0
MPU_xTaskGetSchedulerState,0,0
MPU_vTaskSetTimeOutState,0,0
MPU_xTaskCheckForTimeOut,0,0
MPU_xTaskGenericNotifyEntry,0,0
MPU_xTaskGenericNotifyWaitEntry,0,0
MPU_ulTaskGenericNotifyTake,0,0
MPU_xTaskGenericNotifyStateClear,0,0
MPU_ulTaskGenericNotifyValueClear,0,0
MPU_xQueueGenericSend,0,0
MPU_uxQueueMessagesWaiting,0,0
MPU_uxQueueSpacesAvailable,0,0
MPU_xQueueReceive,0,0
MPU_xQueuePeek,0,0
MPU_xQueueSemaphoreTake,0,0
MPU_xQueueGetMutexHolder,0,0
MPU_xQueueTakeMutexRecursive,0,0
MPU_xQueueGiveMutexRecursive,0,0
MPU_vQueueAddToRegistry,0,0
MPU_vQueueUnregisterQueue,0,0
MPU_pcQueueGetName,0,0
MPU_pvTimerGetTimerID,0,0
MPU_vTimerSetTimerID,0,0
MPU_xTimerIsTimerActive,0,0
MPU_xTimerGetTimerDaemonTaskHandle,0,0
MPU_xTimerGenericCommandFromTaskEntry,0,0
MPU_pcTimerGetName,0,0
MPU_vTimerSetReloadMode,0,0
MPU_xTimerGetReloadMode,0,0
MPU_uxTimerGetReloadMode,0,0
MPU_xTimerGetPeriod,0,0
MPU_xTimerGetExpiryTime,0,0
MPU_xEventGroupWaitBitsEntry,0,0
MPU_xEventGroupClearBits,0,0
MPU_xEventGroupSetBits,0,0
MPU_xEventGroupSync,0,0
MPU_uxEventGroupGetNumber,0,0
MPU_vEventGroupSetNumber,0,0
MPU_xStreamBufferSend,0,0
MPU_xStreamBufferReceive,0,0
MPU_xStreamBufferIsFull,0,0
MPU_xStreamBufferIsEmpty,0,0
MPU_xStreamBufferSpacesAvailable,0,0
MPU_xStreamBufferBytesAvailable,0,0
MPU_xStreamBufferSetTriggerLevel,0,0
MPU_xStreamBufferNextMessageLengthBytes,0,0
BREAKPOINT,0,0
create_queue,0,0
delete_queue,0,0
test_task,0,0
fuzz_task,0,0
pxPortInitialiseStack,0,0
vPortSVCHandler,0,0
vSVCHandler_C,0,0
vSystemCallEnter,0,0
vRequestSystemCallExit,0,0
vSystemCallExit,0,0
xPortIsTaskPrivileged,0,0
prvRestoreContextOfFirstTask,0,0
xPortStartScheduler,0,0
