function_name,parameter_name,parameter_type,parameter_order
xEventGroupCreateStatic,pxEventGroupBuffer,StaticEventGroup_t*,1
xEventGroupCreate,,void,1
xEventGroupSync,xEventGroup,EventGroupHandle_t,1
xEventGroupSync,uxBitsToSet,EventBits_t,2
xEventGroupSync,uxBitsToWaitFor,EventBits_t,3
xEventGroupSync,xTicksToWait,TickType_t,4
xEventGroupWaitBits,xEventGroup,EventGroupHandle_t,1
xEventGroupWaitBits,uxBitsToWaitFor,EventBits_t,2
xEventGroupWaitBits,xClearOnExit,BaseType_t,3
xEventGroupWaitBits,xWaitForAllBits,BaseType_t,4
xEventGroupWaitBits,xTicksToWait,TickType_t,5
xEventGroupClearBits,xEventGroup,EventGroupHandle_t,1
xEventGroupClearBits,uxBitsToClear,EventBits_t,2
xEventGroupClearBitsFromISR,xEventGroup,EventGroupHandle_t,1
xEventGroupClearBitsFromISR,uxBitsToClear,EventBits_t,2
xEventGroupGetBitsFromISR,xEventGroup,EventGroupHandle_t,1
xEventGroupSetBits,xEventGroup,EventGroupHandle_t,1
xEventGroupSetBits,uxBitsToSet,EventBits_t,2
vEventGroupDelete,xEventGroup,EventGroupHandle_t,1
xEventGroupGetStaticBuffer,xEventGroup,EventGroupHandle_t,1
xEventGroupGetStaticBuffer,ppxEventGroupBuffer,StaticEventGroup_t**,2
vEventGroupSetBitsCallback,pvEventGroup,void*,1
vEventGroupSetBitsCallback,ulBitsToSet,uint32_t,2
vEventGroupClearBitsCallback,pvEventGroup,void*,1
vEventGroupClearBitsCallback,ulBitsToClear,uint32_t,2
prvTestWaitCondition,uxCurrentEventBits,EventBits_t,1
prvTestWaitCondition,uxBitsToWaitFor,EventBits_t,2
prvTestWaitCondition,xWaitForAllBits,BaseType_t,3
xEventGroupSetBitsFromISR,xEventGroup,EventGroupHandle_t,1
xEventGroupSetBitsFromISR,uxBitsToSet,EventBits_t,2
xEventGroupSetBitsFromISR,pxHigherPriorityTaskWoken,BaseType_t*,3
uxEventGroupGetNumber,xEventGroup,void*,1
vEventGroupSetNumber,xEventGroup,void*,1
vEventGroupSetNumber,uxEventGroupNumber,UBaseType_t,2
Reset_Handler,,void,1
prvGetRegistersFromStack,pulFaultStackAddress,uint32_t*,1
Default_Handler,,void,1
HardFault_Handler,,void,1
MemMang_Handler,,void,1
BusFault_Handler,,void,1
UsageFault_Handler,,void,1
Debug_Handler,,void,1
_start,,void,1
exit,status,int,1
MPU_xTaskDelayUntil,pxPreviousWakeTime,TickType_t*,1
MPU_xTaskDelayUntil,xTimeIncrement,TickType_t,2
MPU_xTaskAbortDelay,xTask,TaskHandle_t,1
MPU_vTaskDelay,xTicksToDelay,TickType_t,1
MPU_uxTaskPriorityGet,xTask,TaskHandle_t,1
MPU_eTaskGetState,xTask,TaskHandle_t,1
MPU_vTaskGetInfo,xTask,TaskHandle_t,1
MPU_vTaskGetInfo,pxTaskStatus,TaskStatus_t*,2
MPU_vTaskGetInfo,xGetFreeStackSpace,BaseType_t,3
