function_name,signature,source_file,full_name,index
pxPortInitialiseStack,"StackType_t(StackType_t*,TaskFunction_t,void*,BaseType_t,xMPU_SETTINGS*)",fuzz_harness.c,create_queue,91
vPortSVCHandler,void(void),fuzz_harness.c,delete_queue,92
xPortStartScheduler,BaseType_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vSystemCallEnter,99
vPortEndScheduler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vRequestSystemCallExit,100
vPortEnterCritical,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vSystemCallExit,101
vPortExitCritical,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,xPortIsTaskPrivileged,102
xPortPendSVHandler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,prvRestoreContextOfFirstTask,103
xPortSysTickHandler,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,xPortStartScheduler,104
vPortSwitchToUserMode,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vPortSetupTimerInterrupt,110
xPortIsAuthorizedToAccessBuffer,"BaseType_t(void*,uint32_t,uint32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,prvGetMPURegionSizeSetting,112
vPortValidateInterruptPriority,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,xIsPrivileged,113
vPortGrantAccessToKernelObject,"void(TaskHandle_t,int32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vResetPrivilege,114
vPortRevokeAccessToKernelObject,"void(TaskHandle_t,int32_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vPortSwitchToUserMode,115
xPortIsAuthorizedToAccessKernelObject,BaseType_t(int32_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,vPortStoreTaskMPUSettings,116
pvPortMalloc,void*(size_t),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,pvTimerGetTimerID,275
vPortFree,void(void*),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,vTimerSetTimerID,276
xPortGetFreeHeapSize,size_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,xTimerPendFunctionCallFromISR,277
xPortGetMinimumEverFreeHeapSize,size_t(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,xTimerPendFunctionCall,278
xPortResetHeapMinimumEverFreeHeapSize,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,uxTimerGetTimerNumber,279
vPortInitialiseBlocks,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,vTimerSetTimerNumber,280
pvPortCalloc,"void*(size_t,size_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,vTimerResetState,281
prvHeapInit,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c:<global>,282
vPortGetHeapStats,void(HeapStats_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,vPortFree,284
vPortHeapResetState,void(void),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,xPortGetFreeHeapSize,285
heapPROTECT_BLOCK_POINTER,ANY(3),app_main.c,app_main.c:<global>,471
portADD_UINT32_WILL_OVERFLOW,ANY(0),syscall.c,syscall.c:<global>,476
portMPU_REGION_EXECUTE_NEVER,A_BLOCK_LINK*(1),syscall.c,uart_init,477
heapPROTECT_BLOCK_POINTER,ANY(0),syscall.c,_fstat,478
portNVIC_SYSTICK_CLK,ANY(1),syscall.c,_read,479
portNVIC_SYSTICK_INT,ANY(0),syscall.c,_sbrk,481
portNVIC_SYSTICK_CTRL_REG,ANY(1),syscall.c,_kill,486
portCLEAR_INTERRUPT_MASK_FROM_ISR,ANY(1),syscall.c,_getpid,487
heapBLOCK_SIZE_IS_VALID,ANY(0),<includes>,<includes>:<global>,488
portENABLE_INTERRUPTS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portADD_UINT32_WILL_OVERFLOW:ANY(2),494
portUNPRIVILEGED_FLASH_REGION,ANY(0),mpu_demo.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portMPU_REGION_EXECUTE_NEVER:ANY(0),495
portPRIGROUP_SHIFT,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c:heapPROTECT_BLOCK_POINTER:A_BLOCK_LINK*(1),496
heapVALIDATE_BLOCK_POINTER,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portNVIC_SYSTICK_CLK:ANY(0),497
portNVIC_SYS_CTRL_STATE_REG,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:sbFLAGS_IS_BATCHING_BUFFER:ANY(0),501
portMAX_DELAY,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:sbBYTES_TO_STORE_MESSAGE_LENGTH:ANY(0),502
portTICK_TYPE_CLEAR_INTERRUPT_MASK_FROM_ISR,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portCLEAR_INTERRUPT_MASK_FROM_ISR:ANY(1),505
portMEMORY_BARRIER,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdFALSE:ANY(0),507
portDISABLE_INTERRUPTS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:configSYSTICK_CLOCK_HZ:ANY(0),509
portBASE_TYPE_ENTER_CRITICAL,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/event_groups.h:eventUNBLOCKED_DUE_TO_BIT_SET:ANY(0),510
portMPU_REGION_CACHEABLE_BUFFERABLE,ANY(3),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portUNPRIVILEGED_FLASH_REGION:ANY(0),513
portTICK_TYPE_SET_INTERRUPT_MASK_FROM_ISR,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c:heapVALIDATE_BLOCK_POINTER:ANY(1),515
portPRIVILEGED_FLASH_REGION,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOS.h:portTASK_SWITCH_HOOK:ANY(1),521
portOFFSET_TO_PSR,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c:queueUNLOCKED:ANY(0),524
