function_name,signature,source_file,full_name,index
prvInsertBlockIntoFreeList,void(BlockLink_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,pvPortMalloc,283
vListInitialise,void(List_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,xPortGetMinimumEverFreeHeapSize,286
vListInitialiseItem,void(ListItem_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,xPortResetHeapMinimumEverFreeHeapSize,287
vListInsertEnd,"void(List_t*,ListItem_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,vPortInitialiseBlocks,288
vListInsert,"void(List_t*,ListItem_t*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,pvPortCalloc,289
uxListRemove,UBaseType_t(ListItem_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,prvHeapInit,290
prvGetHighestPriorityOfWaitToReceiveList,UBaseType_t(Queue_t*),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,xQueuePeek,351
prvSearchForNameWithinSingleList,TaskHandle_t(char*),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,vTaskPrioritySet,400
listLIST_IS_EMPTY,ANY(0),syscall.c,_write,480
listGET_LIST_ITEM_OWNER,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOS.h:configINITIAL_TICK_COUNT:int(0),529
listCURRENT_LIST_LENGTH,ANY(0),mpu_demo.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portMPU_REGION_READ_WRITE:ANY(0),545
listGET_HEAD_ENTRY,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portNUM_CONFIGURABLE_REGIONS:ANY(0),569
listSET_LIST_ITEM_VALUE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:sbFLAGS_IS_MESSAGE_BUFFER:ANY(0),581
listLIST_ITEM_CONTAINER,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listSET_LIST_ITEM_VALUE:ANY(2),599
listSET_LIST_ITEM_OWNER,ANY(0),mpu_demo.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/mpu_wrappers.h:xTaskCreateRestricted:ANY(0),600
listGET_END_MARKER,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configTICK_RATE_HZ:ANY(0),623
listGET_ITEM_VALUE_OF_HEAD_ENTRY,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_GetTimerHandleAtIndex:ANY(1),654
listGET_NEXT,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:xTaskNotifyWaitIndexed:ANY(5),659
listGET_OWNER_OF_HEAD_ENTRY,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portOFFSET_TO_PC:ANY(0),681
listGET_LIST_ITEM_VALUE,ANY(2),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portSVC_START_SCHEDULER:int(0),693
listIS_CONTAINED_WITHIN,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/queue.h:queueQUEUE_TYPE_COUNTING_SEMAPHORE:ANY(0),694
listINSERT_END,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c:tmrNO_DELAY:ANY(0),700
listREMOVE_ITEM,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portTOP_BIT_OF_BYTE:ANY(0),726
