function_name,signature,source_file,full_name,index
MPU_xQueueGenericSend,"BaseType_t(QueueHandle_t,void*,TickType_t,BaseType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_ulTaskGenericNotifyTake,49
MPU_uxQueueMessagesWaiting,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xTaskGenericNotifyStateClear,50
MPU_uxQueueSpacesAvailable,UBaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_ulTaskGenericNotifyValueClear,51
MPU_xQueueReceive,"BaseType_t(QueueHandle_t,void*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xQueueGenericSend,52
MPU_xQueuePeek,"BaseType_t(QueueHandle_t,void*,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxQueueMessagesWaiting,53
MPU_xQueueSemaphoreTake,"BaseType_t(QueueHandle_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_uxQueueSpacesAvailable,54
MPU_xQueueGetMutexHolder,TaskHandle_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xQueueReceive,55
MPU_xQueueTakeMutexRecursive,"BaseType_t(QueueHandle_t,TickType_t)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xQueuePeek,56
MPU_xQueueGiveMutexRecursive,BaseType_t(QueueHandle_t),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xQueueSemaphoreTake,57
MPU_vQueueAddToRegistry,"void(QueueHandle_t,char*)",/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/mpu_wrappers_v2_asm.c,MPU_xQueueGetMutexHolder,58
